lang_code,lesson_number,level,topic
ja,21,C1,
ja,22,C1,
ja,23,C1,
ja,24,C1,"Kanji have two reading types: ON-yomi (音読み) — Chinese-derived, used in compounds; KUN-yomi (訓読み) — native Japanese, used standalone or in native compounds. Same kanji, different readings by context."
ja,25,C1,"Japanese grammatical particles: は [wa] topic, が [ga] subject, を [o] object, に [ni] direction/time, で [de] location/means, へ [e] direction. Note: は and へ read differently than their normal hiragana values when used as particles."
ja,26,C2,
ja,27,C2,
ja,28,C2,"Japanese pitch accent: words are distinguished by pitch pattern, not stress. Tokyo dialect: most words start LOW then go HIGH. The same pronunciation can mean different things with different pitch."
ja,29,C2,
ja,30,C2,
zh,1,A1,"Pinyin tones: Mandarin has 4 tones + 1 neutral tone. Tone marks: ā (1st, high level), á (2nd, rising), ǎ (3rd, dip-rise), à (4th, falling), a (neutral, short/light). Examples: mā 妈 [ma˥˥] mother, má 麻 [ma˧˥] hemp, mǎ 马 [ma˨˩˦] horse, mà 骂 [ma˥˩] scold, ma 吗 [ma] question particle."
zh,2,A1,"Pinyin simple finals (单韵母): a [a], o [o], e [ɤ/ə], i [i], u [u], ü [y]. These are the six basic vowel finals in Mandarin pinyin."
zh,3,A1,"Pinyin initials — labials & dentals: b [p], p [pʰ], m [m], f [f]; d [t], t [tʰ], n [n], l [l]. Note: b/d/g are unaspirated, not voiced as in English. Words: bā 八 [pa˥˥], pá 爬 [pʰa˧˥], māo 猫 [mao˥˥], fā 发 [fa˥˥], dà 大 [ta˥˩], tā 他 [tʰa˥˥], nǎ 哪 [na˨˩˦], lái 来 [lai˧˥]."
zh,4,A1,"Pinyin initials — velars & palatals: g [k], k [kʰ], h [x]; j [tɕ], q [tɕʰ], x [ɕ]. j/q/x only appear before i and ü. Words: gǒu 狗 [kou˨˩˦], kāi 开 [kʰai˥˥], hǎo 好 [xao˨˩˦], jiā 家 [tɕia˥˥], qù 去 [tɕʰy˥˩], xiǎo 小 [ɕiao˨˩˦]."
zh,5,A1,"Pinyin initials — retroflexes & sibilants: zh [tʂ], ch [tʂʰ], sh [ʂ], r [ɻ] (tongue curled back); z [ts], c [tsʰ], s [s] (tongue flat). Words: zhōng 中 [tʂoŋ˥˥], chī 吃 [tʂʰɻ˥˥], shū 书 [ʂu˥˥], rén 人 [ɻən˧˥], zǒu 走 [tsou˨˩˦], cài 菜 [tsʰai˥˩], sān 三 [san˥˥]."
zh,6,A2,"Compound finals with A: ai [ai], ao [au], an [an], ang [aŋ]. The a is always pronounced clearly and fully. Phrases: māo [mao] 猫 cat, hǎo [xao] 好 good, nán [nan] 南 south, máng [maŋ] 忙 busy."
zh,7,A2,"Compound finals with O/E: ou [ou], ong [oŋ], en [ən], eng [əŋ], er [ɚ]. The er final is special — it's a rhotacized vowel unique to Mandarin. Words: óu 欧 [ou˧˥], tóng 同 [tʰoŋ˧˥], mén 门 [mən˧˥], féng 缝 [fəŋ˧˥], ér 儿 [ɚ˧˥]."
zh,8,A2,"Finals with I (i-group): ia [ia], ie [iɛ], iao [iau], iou [iou], ian [iɛn], iang [iaŋ], in [in], ing [iŋ], iong [ioŋ]. When used without an initial, i → y (ya, ye, yao, you, yan, yang, yin, ying, yong). Words: jiā 家 [tɕia˥˥], jiě 姐 [tɕiɛ˨˩˦], xiǎo 小 [ɕiau˨˩˦], niú 牛 [niou˧˥], tiān 天 [tʰiɛn˥˥], liǎng 两 [liaŋ˨˩˦], xīn 心 [ɕin˥˥], míng 明 [miŋ˧˥]."
zh,9,A2,"Finals with U (u-group): ua [ua], uo [uo], uai [uai], uei [uei], uan [uan], uang [uaŋ], un [uən], ueng [uəŋ]. When used without initial, u → w (wa, wo, wai, wei, wan, wang, wen, weng). Words: huā 花 [xua˥˥], duō 多 [tuo˥˥], kuài 快 [kʰuai˥˩], guī 贵 [kuei˥˩], tuán 团 [tʰuan˧˥], wáng 王 [uaŋ˧˥], lùn 论 [luən˥˩]."
zh,10,A2,"Finals with Ü (ü-group): üe [yɛ], üan [yɛn], ün [yn]. After j/q/x/y, ü is written as u (the two dots are omitted): ju [tɕy], qu [tɕʰy], xu [ɕy], yu [y]. Words: xuě 雪 [ɕyɛ˨˩˦], yuǎn 远 [yɛn˨˩˦], yún 云 [yn˧˥], jù 句 [tɕy˥˩], qún 裙 [tɕʰyn˧˥]."
zh,11,B1,"Tone sandhi rules: (1) Two 3rd tones in sequence: the first changes to 2nd tone: nǐ hǎo → ní hǎo [ni˧˥ xao˨˩˦]. (2) 一 yī: before 4th tone → yí [˧˥]; before 1st/2nd/3rd → yì [˥˩]. (3) 不 bù: before 4th tone → bú [˧˥]. Examples: nǐ hǎo → ní hǎo, yígè [i˧˥ kɤ˥˩], bú qù [pu˧˥ tɕʰy˥˩]."
zh,12,B1,"Special pronunciations: (1) zh/ch/sh/r + i → special apical vowel [ɻ]: zhī [tʂɻ˥˥], chī [tʂʰɻ˥˥], shī [ʂɻ˥˥], rì [ɻɻ˥˩]. (2) z/c/s + i → special dental vowel [z̩]: zī [tsz̩˥˥], cí [tsʰz̩˧˥], sì [sz̩˥˩]. (3) y + u = yu [y]; w + u = wu [u]."
zh,13,B1,"Basic radicals (部首): Chinese characters are built from radicals — components that hint at meaning. Learning key radicals helps decode new characters. 口 mouth, 人 person, 手 hand, 水 water, 火 fire, 木 wood, 土 earth, 金 gold/metal, 日 sun, 月 moon."
zh,14,B1,
zh,15,B1,
zh,16,B2,
zh,17,B2,
zh,18,B2,
zh,19,B2,
zh,20,B2,"Chinese sentence structure: Subject–Verb–Object (SVO). Negation: 不 bù before verb. Yes/no questions: add 吗 ma at end. Follow-up: 呢 ne for 'and you?'. Examples: 我吃饭 [uo˨˩˦ tʂʰɻ˥˥ fan˥˩], 我不吃饭 [uo˨˩˦ pu˥˩ tʂʰɻ˥˥ fan˥˩], 你吃饭吗？, 你呢？"
zh,21,C1,"Measure words (量词): Chinese requires a classifier between a number and noun. Common classifiers: 个 gè (general), 本 běn (books), 张 zhāng (flat things), 条 tiáo (long/thin), 只 zhī (animals), 杯 bēi (cups). Examples: 一个人 [yīgè rén], 一本书 [yīběn shū], 一张纸 [yīzhāng zhǐ]."
zh,22,C1,
zh,23,C1,
zh,24,C1,
zh,25,C1,"Aspect particles: 了 le marks completed action, 过 guò marks past experience, 着 zhe marks ongoing state. These attach after verbs and are toneless or light-toned in context. Examples: 我吃了饭 [uo˨˩˦ tʂʰɻ˥˥ lə fan˥˩], 我去过北京 [uo˨˩˦ tɕʰy˥˩ kuo˥˩ pei˨˩˦ tɕiŋ˥˥], 他穿着红衣服 [tʰa˥˥ tʂʰuan˥˥ tʂɤ˥˩ xoŋ˧˥ i˥˥ fu]."
zh,26,C2,"Tone mark placement rules: (1) If a or e is present, the mark goes on a or e: māo [mao˥˥], hé [xɤ˧˥]. (2) If ou is present, the mark goes on o: gǒu [kou˨˩˦]. (3) Otherwise, the mark goes on the last vowel: guī [kuei˥˩], liú [liou˧˥]. Examples: xiǎo [ɕiau˨˩˦], duì [tuei˥˩], tīng [tʰiŋ˥˥], wén [uən˧˥]."
zh,27,C2,"Erhua (儿化): Beijing/northern Mandarin feature where 儿 [r] suffix is added to words, causing the final vowel to become rhotacized. Written as 儿 but pronounced as a suffix. Examples: 这儿 [tʂɤ˥˩r] here, 那儿 [na˥˩r] there, 哪儿 [na˨˩˦r] where, 一点儿 [i˥˥ tiɛn˨˩˦r] a little, 玩儿 [uan˧˥r] play."
zh,28,C2,
zh,29,C2,
zh,30,C2,
nl,1,A1,
nl,2,A1,
nl,3,A1,
nl,4,A1,
nl,5,A1,
nl,6,A2,"Подвоєна голосна означає довгий звук: aa [aː], ee [eː], oo [oː], uu [y]. Приклади: maan [maːn], zee [zeː], boot [boːt], vuur [vyːr]."
nl,7,A2,"Буквосполучення OE завжди читається як [u]: boek [buk], poes [pus]."
nl,8,A2,"Буквосполучення IE читається як довге [i]: niet [nit], dier [dir]."
nl,9,A2,"IJ та EI пишуться по-різному, але звучать однаково — як [ɛi]: kijk [kɛik], klein [klɛin]."
nl,10,A2,"OU та AU пишуться по-різному, але звучать однаково — як [ʌu]: koud [kʌut], auto [ˈʌuto]."
nl,11,B1,"UI — специфічно нідерландський звук, щось середнє між [ɔy] та [œy], губи округлені: huis [ɦœys], tuin [tœyn]."
nl,12,B1,"EU — довге [øː], губи округлені, звук тягнеться, без [j] наприкінці: neus [nøːs], leuk [løːk]."
nl,13,B1,"На початку та в середині слова G і CH позначають гортанний звук [x]: goed [xut], lachen [ˈlɑxə(n)]."
nl,14,B1,SCH читається як [sx]. У кінці слова -isch читається спрощено — як [is]: logisch [ˈloːxis].
nl,15,B1,"V вимовляється м'якше за російське В, ближче до глухого Ф. W — дуже м'яке В. J завжди читається як [j]: ja [jaː]."
nl,16,B2,"Стечення приголосних на початку складу вимовляються злито, без голосної між ними: straat [straːt], а не «си-тра-ат»."
nl,17,B2,"У кінці слова D та B оглушуються: D → [t] (hond [ɦɔnt]), B → [p] (heb [ɦɛp])."
nl,18,B2,NG позначає носовий звук [ŋ] без окремого [g]. NK читається як [ŋk]: bank [bɑŋk].
nl,19,B2,Ненаголошене закінчення -EN звучить як [ə(n)] — кінцеве N майже не вимовляється. -ER звучить як [ər].
